[DEBUG] 2018-11-01 16:00:34.109 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@5c78f3b7
[DEBUG] 2018-11-01 16:00:34.110 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration big_integer -> org.hibernate.type.BigIntegerType@34cdc97f
[DEBUG] 2018-11-01 16:00:34.110 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration java.math.BigInteger -> org.hibernate.type.BigIntegerType@34cdc97f
[DEBUG] 2018-11-01 16:00:34.111 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration string -> org.hibernate.type.StringType@43ea255e
[DEBUG] 2018-11-01 16:00:34.112 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration java.lang.String -> org.hibernate.type.StringType@43ea255e
[DEBUG] 2018-11-01 16:00:34.113 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration nstring -> org.hibernate.type.StringNVarcharType@31ac9ee7
[DEBUG] 2018-11-01 16:00:34.114 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@5f0cbc4d
[DEBUG] 2018-11-01 16:00:34.115 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration url -> org.hibernate.type.UrlType@77c6b2a1
[DEBUG] 2018-11-01 16:00:34.115 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration java.net.URL -> org.hibernate.type.UrlType@77c6b2a1
[DEBUG] 2018-11-01 16:00:34.142 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration Duration -> org.hibernate.type.DurationType@2676793d
[DEBUG] 2018-11-01 16:00:34.142 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration java.time.Duration -> org.hibernate.type.DurationType@2676793d
[DEBUG] 2018-11-01 16:00:34.331 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration Instant -> org.hibernate.type.InstantType@6b7c2b68
[DEBUG] 2018-11-01 16:00:34.332 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration java.time.Instant -> org.hibernate.type.InstantType@6b7c2b68
[DEBUG] 2018-11-01 16:00:34.337 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration LocalDateTime -> org.hibernate.type.LocalDateTimeType@27c4301d
[DEBUG] 2018-11-01 16:00:34.337 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration java.time.LocalDateTime -> org.hibernate.type.LocalDateTimeType@27c4301d
[DEBUG] 2018-11-01 16:00:34.340 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration LocalDate -> org.hibernate.type.LocalDateType@56e02ad
[DEBUG] 2018-11-01 16:00:34.341 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration java.time.LocalDate -> org.hibernate.type.LocalDateType@56e02ad
[DEBUG] 2018-11-01 16:00:34.342 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration LocalTime -> org.hibernate.type.LocalTimeType@2f1d6cfe
[DEBUG] 2018-11-01 16:00:34.343 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration java.time.LocalTime -> org.hibernate.type.LocalTimeType@2f1d6cfe
[DEBUG] 2018-11-01 16:00:34.345 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@5360e387
[DEBUG] 2018-11-01 16:00:34.345 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration java.time.OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@5360e387
[DEBUG] 2018-11-01 16:00:34.346 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration OffsetTime -> org.hibernate.type.OffsetTimeType@ea35665
[DEBUG] 2018-11-01 16:00:34.346 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration java.time.OffsetTime -> org.hibernate.type.OffsetTimeType@ea35665
[DEBUG] 2018-11-01 16:00:34.353 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@6aec4fe7
[DEBUG] 2018-11-01 16:00:34.353 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration java.time.ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@6aec4fe7
[DEBUG] 2018-11-01 16:00:34.355 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration date -> org.hibernate.type.DateType@60d7b9e4
[DEBUG] 2018-11-01 16:00:34.355 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration java.sql.Date -> org.hibernate.type.DateType@60d7b9e4
[DEBUG] 2018-11-01 16:00:34.358 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration time -> org.hibernate.type.TimeType@7d9f3c37
[DEBUG] 2018-11-01 16:00:34.358 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration java.sql.Time -> org.hibernate.type.TimeType@7d9f3c37
[DEBUG] 2018-11-01 16:00:34.359 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration timestamp -> org.hibernate.type.TimestampType@17065158
[DEBUG] 2018-11-01 16:00:34.359 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration java.sql.Timestamp -> org.hibernate.type.TimestampType@17065158
[DEBUG] 2018-11-01 16:00:34.360 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration java.util.Date -> org.hibernate.type.TimestampType@17065158
[DEBUG] 2018-11-01 16:00:34.362 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration dbtimestamp -> org.hibernate.type.DbTimestampType@12b32927
[DEBUG] 2018-11-01 16:00:34.364 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration calendar -> org.hibernate.type.CalendarType@5c2f9c40
[DEBUG] 2018-11-01 16:00:34.364 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration java.util.Calendar -> org.hibernate.type.CalendarType@5c2f9c40
[DEBUG] 2018-11-01 16:00:34.364 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration java.util.GregorianCalendar -> org.hibernate.type.CalendarType@5c2f9c40
[DEBUG] 2018-11-01 16:00:34.365 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration calendar_date -> org.hibernate.type.CalendarDateType@1e3075b0
[DEBUG] 2018-11-01 16:00:34.367 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration locale -> org.hibernate.type.LocaleType@77803df4
[DEBUG] 2018-11-01 16:00:34.367 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration java.util.Locale -> org.hibernate.type.LocaleType@77803df4
[DEBUG] 2018-11-01 16:00:34.368 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration currency -> org.hibernate.type.CurrencyType@232646cc
[DEBUG] 2018-11-01 16:00:34.368 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration java.util.Currency -> org.hibernate.type.CurrencyType@232646cc
[DEBUG] 2018-11-01 16:00:34.373 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration timezone -> org.hibernate.type.TimeZoneType@2563ad9
[DEBUG] 2018-11-01 16:00:34.373 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration java.util.TimeZone -> org.hibernate.type.TimeZoneType@2563ad9
[DEBUG] 2018-11-01 16:00:34.376 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration class -> org.hibernate.type.ClassType@5c83514
[DEBUG] 2018-11-01 16:00:34.376 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration java.lang.Class -> org.hibernate.type.ClassType@5c83514
[DEBUG] 2018-11-01 16:00:34.377 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration uuid-binary -> org.hibernate.type.UUIDBinaryType@742b3bdb
[DEBUG] 2018-11-01 16:00:34.377 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration java.util.UUID -> org.hibernate.type.UUIDBinaryType@742b3bdb
[DEBUG] 2018-11-01 16:00:34.378 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration uuid-char -> org.hibernate.type.UUIDCharType@3b432357
[DEBUG] 2018-11-01 16:00:34.379 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration binary -> org.hibernate.type.BinaryType@47af35d5
[DEBUG] 2018-11-01 16:00:34.379 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration byte[] -> org.hibernate.type.BinaryType@47af35d5
[DEBUG] 2018-11-01 16:00:34.379 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration [B -> org.hibernate.type.BinaryType@47af35d5
[DEBUG] 2018-11-01 16:00:34.380 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration wrapper-binary -> org.hibernate.type.WrapperBinaryType@34089463
[DEBUG] 2018-11-01 16:00:34.380 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration Byte[] -> org.hibernate.type.WrapperBinaryType@34089463
[DEBUG] 2018-11-01 16:00:34.380 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration [Ljava.lang.Byte; -> org.hibernate.type.WrapperBinaryType@34089463
[DEBUG] 2018-11-01 16:00:34.381 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration row_version -> org.hibernate.type.RowVersionType@54a66535
[DEBUG] 2018-11-01 16:00:34.382 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration image -> org.hibernate.type.ImageType@23a4613f
[DEBUG] 2018-11-01 16:00:34.383 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration characters -> org.hibernate.type.CharArrayType@6e695ea7
[DEBUG] 2018-11-01 16:00:34.383 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration char[] -> org.hibernate.type.CharArrayType@6e695ea7
[DEBUG] 2018-11-01 16:00:34.383 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration [C -> org.hibernate.type.CharArrayType@6e695ea7
[DEBUG] 2018-11-01 16:00:34.384 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration wrapper-characters -> org.hibernate.type.CharacterArrayType@58d1ba8c
[DEBUG] 2018-11-01 16:00:34.384 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration [Ljava.lang.Character; -> org.hibernate.type.CharacterArrayType@58d1ba8c
[DEBUG] 2018-11-01 16:00:34.384 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration Character[] -> org.hibernate.type.CharacterArrayType@58d1ba8c
[DEBUG] 2018-11-01 16:00:34.385 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration text -> org.hibernate.type.TextType@87c6cb6
