[DEBUG] 2018-10-13 13:46:58.295 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@24db3da8
[DEBUG] 2018-10-13 13:46:58.296 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration big_integer -> org.hibernate.type.BigIntegerType@5535aded
[DEBUG] 2018-10-13 13:46:58.296 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration java.math.BigInteger -> org.hibernate.type.BigIntegerType@5535aded
[DEBUG] 2018-10-13 13:46:58.297 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration string -> org.hibernate.type.StringType@3ddb95f6
[DEBUG] 2018-10-13 13:46:58.297 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration java.lang.String -> org.hibernate.type.StringType@3ddb95f6
[DEBUG] 2018-10-13 13:46:58.298 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration nstring -> org.hibernate.type.StringNVarcharType@20de1ad7
[DEBUG] 2018-10-13 13:46:58.311 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@6c359a86
[DEBUG] 2018-10-13 13:46:58.312 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration url -> org.hibernate.type.UrlType@1b5df53
[DEBUG] 2018-10-13 13:46:58.312 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration java.net.URL -> org.hibernate.type.UrlType@1b5df53
[DEBUG] 2018-10-13 13:46:58.316 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration Duration -> org.hibernate.type.DurationType@36780ba
[DEBUG] 2018-10-13 13:46:58.316 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration java.time.Duration -> org.hibernate.type.DurationType@36780ba
[DEBUG] 2018-10-13 13:46:58.346 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration Instant -> org.hibernate.type.InstantType@e8ae23b
[DEBUG] 2018-10-13 13:46:58.346 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration java.time.Instant -> org.hibernate.type.InstantType@e8ae23b
[DEBUG] 2018-10-13 13:46:58.349 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration LocalDateTime -> org.hibernate.type.LocalDateTimeType@5b10b57f
[DEBUG] 2018-10-13 13:46:58.349 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration java.time.LocalDateTime -> org.hibernate.type.LocalDateTimeType@5b10b57f
[DEBUG] 2018-10-13 13:46:58.352 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration LocalDate -> org.hibernate.type.LocalDateType@410efd7e
[DEBUG] 2018-10-13 13:46:58.352 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration java.time.LocalDate -> org.hibernate.type.LocalDateType@410efd7e
[DEBUG] 2018-10-13 13:46:58.353 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration LocalTime -> org.hibernate.type.LocalTimeType@20ffe910
[DEBUG] 2018-10-13 13:46:58.354 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration java.time.LocalTime -> org.hibernate.type.LocalTimeType@20ffe910
[DEBUG] 2018-10-13 13:46:58.357 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@3422842f
[DEBUG] 2018-10-13 13:46:58.357 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration java.time.OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@3422842f
[DEBUG] 2018-10-13 13:46:58.360 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration OffsetTime -> org.hibernate.type.OffsetTimeType@55d0c9a0
[DEBUG] 2018-10-13 13:46:58.360 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration java.time.OffsetTime -> org.hibernate.type.OffsetTimeType@55d0c9a0
[DEBUG] 2018-10-13 13:46:58.371 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@a5fac11
[DEBUG] 2018-10-13 13:46:58.373 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration java.time.ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@a5fac11
[DEBUG] 2018-10-13 13:46:58.376 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration date -> org.hibernate.type.DateType@e599fce
[DEBUG] 2018-10-13 13:46:58.376 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration java.sql.Date -> org.hibernate.type.DateType@e599fce
[DEBUG] 2018-10-13 13:46:58.377 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration time -> org.hibernate.type.TimeType@44034fa6
[DEBUG] 2018-10-13 13:46:58.377 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration java.sql.Time -> org.hibernate.type.TimeType@44034fa6
[DEBUG] 2018-10-13 13:46:58.378 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration timestamp -> org.hibernate.type.TimestampType@63c2d4d4
[DEBUG] 2018-10-13 13:46:58.378 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration java.sql.Timestamp -> org.hibernate.type.TimestampType@63c2d4d4
[DEBUG] 2018-10-13 13:46:58.379 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration java.util.Date -> org.hibernate.type.TimestampType@63c2d4d4
[DEBUG] 2018-10-13 13:46:58.381 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration dbtimestamp -> org.hibernate.type.DbTimestampType@29bba495
[DEBUG] 2018-10-13 13:46:58.382 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration calendar -> org.hibernate.type.CalendarType@12e16a8a
[DEBUG] 2018-10-13 13:46:58.382 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration java.util.Calendar -> org.hibernate.type.CalendarType@12e16a8a
[DEBUG] 2018-10-13 13:46:58.382 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration java.util.GregorianCalendar -> org.hibernate.type.CalendarType@12e16a8a
